authoring_key,recipe_name,meal_type,recipe_format,cuisine_family,difficulty,prep_time_min,cook_time_min,ingredient_ids,ingredient_summary,calories,protein_g,carbs_g,fat_g,fiber_g,ingredient_count,measurement_basis_status,serving_bounds_status,serving_step_review_count,meal_timing_review_count,nutrition_review_decision,nutrition_review_notes,nutrition_reviewer_name,nutrition_reviewed_at,portion_review_decision,portion_review_notes,workout_timing_review_decision,workout_timing_review_notes,final_nutrition_status
pilot05_lunch_dinner_fave_polenta_romanesco_plate,Fave polenta romanesco plate,lunch/dinner,plated_meal,italian,easy,8,20,214|45|225|110|276,Fave cotte 160g cooked | Polenta 70g raw | Cavolo romanesco 120g raw | Olio EVO 10g raw | Rosmarino 5g raw,555.6,22.2,90.0,13.7,18.9,5,PASS,PASS,1,0,,,,,,,,,PENDING
pilot05_lunch_dinner_soia_integral_pasta_cime_rapa_bowl,Soia integral pasta cime di rapa bowl,lunch/dinner,bowl,italian,easy,8,18,216|35|227|267|110,Soia cotta 150g cooked | Pasta integrale 70g raw | Cime di rapa 120g raw | Aglio 5g raw | Olio EVO 10g raw,625.4,37.2,66.4,25.6,17.7,5,PASS,PASS,1,0,,,,,,,,,PENDING
pilot05_lunch_dinner_sardine_barley_radicchio_plate,Sardine barley radicchio plate,lunch/dinner,plated_meal,mediterranean,easy,8,22,210|33|236|85|242,Sardine al naturale 90g cooked | Orzo perlato 70g raw | Radicchio 80g raw | Sedano 60g raw | Limone 10g raw,465.9,30.7,57.8,11.6,12.9,5,PASS,PASS,0,0,,,,,,,,,PENDING
pilot05_lunch_dinner_liver_buckwheat_chard_plate,Liver buckwheat chard plate,lunch/dinner,plated_meal,neutral,medium,10,18,208|43|220|228|110,Fegato di manzo 110g raw | Grano saraceno 70g raw | Bietola 120g raw | Cipolla 40g raw | Olio EVO 10g raw,559.8,41.0,62.2,18.2,9.6,5,PASS,PASS,1,0,,,,,,,,,PENDING
pilot05_lunch_dinner_cannolicchi_rice_noodle_purple_cabbage_bowl,Cannolicchi rice noodle purple cabbage bowl,lunch/dinner,bowl,asian_inspired,medium,10,16,204|37|226|230|274,Cannolicchi 120g raw | Noodles di riso 70g raw | Cavolo viola 100g raw | Daikon 80g raw | Peperoncino fresco 5g raw,394.6,22.9,70.5,1.8,5.0,5,PASS,PASS,0,0,,,,,,,,,PENDING
pilot05_lunch_dinner_fava_feta_tomato_arugula_salad,Fava feta tomato arugula salad,lunch/dinner,salad,mediterranean,easy,8,0,214|56|83|78|242,Fave cotte 155g cooked | Feta 45g raw | Pomodorini 100g raw | Rucola 50g raw | Limone 10g raw,322.7,20.9,39.1,10.8,13.4,5,PASS,PASS,0,0,,,,,,,,,PENDING
pilot05_lunch_dinner_edamame_rice_pasta_kale_bowl,Edamame rice pasta kale bowl,lunch/dinner,bowl,neutral,easy,8,16,17|46|84|82|268,Edamame 130g raw | Pasta di riso 70g raw | Cavolo kale 100g raw | Pomodoro 120g raw | Basilico fresco 5g raw,476.8,24.0,81.8,8.4,12.9,5,PASS,PASS,1,0,,,,,,,,,PENDING
pilot05_pre_workout_basmati_dates_honey_bowl,Basmati dates honey bowl,pre_workout,bowl,neutral,easy,5,15,24|102|111,Riso basmati 60g raw | Datteri 25g raw | Miele 10g raw,314.5,4.9,74.1,0.6,2.8,3,PASS,PASS,0,0,,,,,,,,,PENDING
pilot05_pre_workout_banana_peach_honey_plate,Banana peach honey plate,pre_workout,plated_meal,neutral,easy,7,0,90|245|111,Banana 130g raw | Pesca 120g raw | Miele 10g raw,192.9,2.5,49.3,0.8,5.2,3,PASS,PASS,0,0,,,,,,,,,PENDING
pilot05_pre_workout_jasmine_rice_date_espresso_cup,Jasmine rice date espresso cup,pre_workout,plated_meal,neutral,easy,5,15,27|102|259,Riso jasmine 60g raw | Datteri 25g raw | Caffè (espresso) 50g raw,289.2,4.9,66.2,0.5,2.2,3,PASS,PASS,1,0,,,,,,,,,PENDING
pilot05_post_workout_tuna_jasmine_pineapple_cucumber_bowl,Tuna jasmine pineapple cucumber bowl,post_workout,bowl,neutral,easy,8,15,6|27|100|76,Tonno al naturale 120g cooked | Riso jasmine 80g raw | Ananas 120g raw | Cetrioli 80g raw,496.8,37.4,81.8,1.8,2.3,4,PASS,PASS,1,0,,,,,,,,,PENDING
pilot05_post_workout_cod_basmati_carrot_plate,Cod basmati carrot plate,post_workout,plated_meal,neutral,easy,8,18,7|24|71|252,Merluzzo 160g raw | Riso basmati 80g raw | Carote 120g raw | Semi di canapa 10g raw,520.5,38.4,75.3,6.9,4.8,4,PASS,PASS,1,0,,,,,,,,,PENDING
pilot06_breakfast_feta_spinach_egg_plate,Feta spinach egg breakfast plate,breakfast,plated_meal,mediterranean,easy,8,8,65|56|68|83|110,Uova intere 110g raw | Feta 45g raw | Spinaci 90g raw | Pomodorini 100g raw | Olio EVO 5g raw,359.0,23.8,9.8,25.6,3.2,5,PASS,PASS,0,0,,,,,,,,,PENDING
pilot06_breakfast_polenta_ricotta_fig_bowl,Polenta ricotta fig breakfast bowl,breakfast,bowl,italian,easy,5,10,45|50|241|269,Polenta 55g raw | Ricotta magra 120g cooked | Fico fresco 90g raw | Cannella in polvere 5g raw,441.3,19.1,66.0,11.9,7.8,4,PASS,PASS,1,1,,,,,,,,,PENDING
pilot06_breakfast_tofu_silken_mango_cacao_smoothie,Silken tofu mango cacao smoothie,breakfast,smoothie,neutral,easy,5,0,63|98|58|116,Tofu silken 140g raw | Mango 130g raw | Latte parzialmente scremato 180g raw | Cacao amaro 5g raw,249.2,15.2,34.0,7.9,3.9,4,PASS,PASS,1,0,,,,,,,,,PENDING
pilot06_breakfast_rye_bresaola_avocado_plate,Rye bresaola avocado breakfast plate,breakfast,plated_meal,italian,easy,7,0,4|40|101|82,Bresaola 60g raw | Pane di segale 60g raw | Avocado 65g raw | Pomodoro 100g raw,368.0,26.5,38.7,12.9,9.0,4,PASS,PASS,2,1,,,,,,,,,PENDING
pilot06_snack_melon_feta_mint_cup,Melon feta mint cup,snack,bowl,mediterranean,easy,5,0,244|56|271,Melone cantalupo 150g raw | Feta 40g raw | Menta fresca 5g raw,160.1,7.1,14.7,8.9,1.7,3,PASS,PASS,1,1,,,,,,,,,PENDING
pilot06_snack_cottage_cucumber_pepper_bowl,Cottage cucumber pepper bowl,snack,bowl,neutral,easy,4,0,53|76|273,Fiocchi di latte 140g raw | Cetrioli 120g raw | Pepe nero 5g raw,167.8,16.9,12.3,6.3,1.9,3,PASS,PASS,1,0,,,,,,,,,PENDING
pilot06_lunch_dinner_trout_pasta_cime_rapa_plate,Trout pasta cime di rapa plate,lunch/dinner,plated_meal,italian,medium,10,18,10|35|227|267|110,Trota 150g raw | Pasta integrale 75g raw | Cime di rapa 140g raw | Aglio 5g raw | Olio EVO 10g raw,599.2,42.7,55.5,22.2,9.6,5,PASS,PASS,2,0,,,,,,,,,PENDING
pilot06_lunch_dinner_rabbit_couscous_fennel_bowl,Rabbit couscous fennel bowl,lunch/dinner,bowl,mediterranean,medium,12,22,206|34|79|71|276|110,Coniglio 155g raw | Cous cous 70g raw | Finocchi 120g raw | Carote 100g raw | Rosmarino 5g raw | Olio EVO 10g raw,647.2,42.6,73.6,20.5,8.8,6,PASS,PASS,1,0,,,,,,,,,PENDING
pilot06_lunch_dinner_scallop_sweet_potato_asparagus_plate,Scallop sweet potato asparagus plate,lunch/dinner,plated_meal,mediterranean,medium,10,20,205|89|73|242|110,Capesante 150g raw | Patata dolce 210g raw | Asparagi 140g raw | Limone 20g raw | Olio EVO 10g raw,434.8,31.9,56.0,11.6,9.8,5,PASS,PASS,2,0,,,,,,,,,PENDING
pilot06_lunch_dinner_mussel_barley_tomato_stew,Mussel barley tomato stew,lunch/dinner,soup_stew,mediterranean,medium,12,28,207|33|82|235|275,Cozze 170g raw | Orzo perlato 70g raw | Pomodoro 150g raw | Porro 80g raw | Prezzemolo 5g raw,471.6,29.9,75.3,5.2,14.3,5,PASS,PASS,2,0,,,,,,,,,PENDING
pilot06_lunch_dinner_tempeh_buckwheat_cabbage_bowl,Tempeh buckwheat cabbage bowl,lunch/dinner,bowl,asian_inspired,easy,10,16,15|43|226|232|277|255,Tempeh 130g raw | Grano saraceno 65g raw | Cavolo viola 120g raw | Germogli di soia 80g raw | Zenzero fresco 5g raw | Aceto di mele 10g raw,550.3,38.8,72.8,17.5,11.0,6,PASS,PASS,1,0,,,,,,,,,PENDING
pilot06_lunch_dinner_branzino_potato_artichoke_plate,Branzino potato artichoke plate,lunch/dinner,plated_meal,mediterranean,medium,10,24,8|88|222|242|275|110,Branzino 160g raw | Patate 210g raw | Carciofo 130g raw | Limone 20g raw | Prezzemolo 5g raw | Olio EVO 10g raw,474.0,38.3,52.6,13.8,12.4,6,PASS,PASS,1,0,,,,,,,,,PENDING
pilot06_lunch_dinner_seitan_quinoa_pepper_bowl,Seitan quinoa pepper bowl,lunch/dinner,bowl,neutral,easy,10,16,16|32|72|80|274|110,Seitan 140g raw | Quinoa 65g raw | Peperoni 130g raw | Fagiolini 120g raw | Peperoncino fresco 5g raw | Olio EVO 10g raw,925.1,117.7,78.0,17.2,12.3,6,PASS,PASS,3,0,,,,,,,,,PENDING
pilot06_lunch_dinner_bean_barley_brussels_stew,Bean barley Brussels sprout stew,lunch/dinner,soup_stew,mediterranean,easy,10,24,19|33|223|235|110,Fagioli cotti 165g cooked | Orzo perlato 65g raw | Cavoletti di Bruxelles 130g raw | Porro 80g raw | Olio EVO 10g raw,632.7,26.4,108.3,12.2,27.1,5,PASS,PASS,1,0,,,,,,,,,PENDING
pilot06_lunch_dinner_sardine_pasta_caper_tomato_plate,Sardine pasta caper tomato plate,lunch/dinner,plated_meal,italian,easy,8,14,210|35|82|221|110,Sardine al naturale 120g preserved | Pasta integrale 70g raw | Pomodoro 140g raw | Capperi 10g raw | Olio EVO 10g raw,609.1,40.1,52.2,25.9,7.8,5,PASS,PASS,2,0,,,,,,,,,PENDING
pilot06_lunch_dinner_calamari_black_rice_romanesco_bowl,Calamari black rice romanesco bowl,lunch/dinner,bowl,mediterranean,medium,12,28,203|25|225|267|275|110,Calamari 160g raw | Riso nero 70g raw | Cavolo romanesco 140g raw | Aglio 5g raw | Prezzemolo 5g raw | Olio EVO 10g raw,522.8,35.3,63.9,14.5,6.8,6,PASS,PASS,1,0,,,,,,,,,PENDING
pilot06_lunch_dinner_beef_amaranth_radicchio_plate,Beef amaranth radicchio plate,lunch/dinner,plated_meal,neutral,medium,10,20,3|44|236|86|255|110,Manzo magro 150g raw | Amaranto 65g raw | Radicchio 100g raw | Barbabietola 120g raw | Aceto di mele 10g raw | Olio EVO 10g raw,604.3,45.0,59.0,22.6,8.6,6,PASS,PASS,2,0,,,,,,,,,PENDING
pilot06_lunch_dinner_edamame_rice_noodle_daikon_bowl,Edamame rice noodle daikon bowl,lunch/dinner,bowl,asian_inspired,easy,10,12,17|37|230|234|277|255,Edamame 150g raw | Noodles di riso 65g raw | Daikon 100g raw | Pak choi (cavolo cinese) 120g raw | Zenzero fresco 5g raw | Aceto di mele 10g raw,459.3,22.8,74.7,8.6,11.7,6,PASS,PASS,1,0,,,,,,,,,PENDING
pilot06_lunch_dinner_chickpea_carrot_couscous_bowl,Chickpea carrot couscous bowl,lunch/dinner,bowl,mediterranean,easy,8,14,18|34|71|69|270|110,Ceci cotti 160g cooked | Cous cous 65g raw | Carote 110g raw | Zucchine 120g raw | Curcuma in polvere 5g raw | Olio EVO 10g raw,678.4,25.4,111.7,15.6,18.9,6,PASS,PASS,3,0,,,,,,,,,PENDING
pilot06_pre_workout_cream_rice_peach_honey_bowl,Cream of rice peach honey bowl,pre_workout,bowl,neutral,easy,5,5,29|245|111,Crema di riso 50g raw | Pesca 140g raw | Miele 15g raw,282.2,4.5,66.2,0.8,2.3,3,PASS,PASS,0,0,,,,,,,,,PENDING
pilot06_pre_workout_white_rice_apple_cinnamon_bowl,White rice apple cinnamon bowl,pre_workout,bowl,neutral,easy,5,15,23|91|269,Riso bianco 70g raw | Mela 120g raw | Cannella in polvere 5g raw,330.3,5.5,76.6,0.8,5.8,3,PASS,PASS,1,0,,,,,,,,,PENDING
pilot06_pre_workout_dates_orange_green_tea_plate,Dates orange green tea plate,pre_workout,plated_meal,neutral,easy,5,0,102|238|266,Datteri 40g raw | Arancia 150g raw | Tè verde 200g raw,185.3,2.4,48.1,0.3,6.8,3,PASS,PASS,3,0,,,,,,,,,PENDING
pilot06_post_workout_branzino_quinoa_mango_plate,Branzino quinoa mango plate,post_workout,plated_meal,mediterranean,easy,10,18,8|32|98|69,Branzino 160g raw | Quinoa 70g raw | Mango 120g raw | Zucchine 120g raw,505.2,41.7,66.7,8.3,8.0,4,PASS,PASS,2,0,,,,,,,,,PENDING
pilot06_post_workout_tempeh_sweet_potato_pineapple_bowl,Tempeh sweet potato pineapple bowl,post_workout,bowl,asian_inspired,easy,10,22,15|89|100|234,Tempeh 130g raw | Patata dolce 210g raw | Ananas 120g raw | Pak choi (cavolo cinese) 120g raw,505.8,30.5,72.3,14.9,9.2,4,PASS,PASS,2,0,,,,,,,,,PENDING
pilot06_post_workout_mackerel_couscous_papaya_plate,Mackerel couscous papaya plate,post_workout,plated_meal,mediterranean,easy,10,16,9|34|99|80,Sgombro 150g raw | Cous cous 70g raw | Papaya 120g raw | Fagiolini 120g raw,659.5,39.6,75.8,21.8,7.7,4,PASS,PASS,3,0,,,,,,,,,PENDING
pilot07_breakfast_chickpea_ricotta_avocado_pancake,Chickpea ricotta avocado breakfast pancake,breakfast,plated_meal,mediterranean,easy,8,8,48|50|101|271,Farina di ceci 45g raw | Ricotta magra 90g cooked | Avocado 60g raw | Menta fresca 5g raw,396.1,21.2,34.9,19.1,9.8,4,PASS,PASS,0,0,,,,,,,,,PENDING
pilot07_breakfast_kefir_mango_matcha_smoothie,Kefir mango matcha smoothie,breakfast,smoothie,neutral,easy,5,0,52|98|261|252,Kefir naturale 200g raw | Mango 120g raw | Matcha in polvere 5g raw | Semi di canapa 10g raw,271.5,12.4,29.8,12.6,4.2,4,PASS,PASS,0,0,,,,,,,,,PENDING
pilot07_breakfast_amaranth_milk_apple_cinnamon_bowl,Amaranth milk apple cinnamon bowl,breakfast,bowl,neutral,easy,5,18,44|58|91|269,Amaranto 50g raw | Latte parzialmente scremato 200g raw | Mela 155g raw | Cannella in polvere 5g raw,370.5,15.1,68.2,7.1,9.7,4,PASS,PASS,0,0,,,,,,,,,PENDING
pilot07_snack_tuna_rye_lemon_open_bite,Tuna rye lemon open bite,snack,handheld,mediterranean,easy,5,0,6|40|242,Tonno al naturale 80g preserved | Pane di segale 50g raw | Limone 10g raw,225.2,24.8,25.1,2.5,3.2,3,PASS,PASS,0,0,,,,,,,,,PENDING
pilot07_snack_kefir_pineapple_chia_drink,Kefir pineapple chia drink,snack,drink,neutral,easy,5,0,52|100|108,Kefir naturale 180g raw | Ananas 125g raw | Semi di chia 20g raw,274.9,10.2,32.9,12.6,8.6,3,PASS,PASS,0,0,,,,,,,,,PENDING
pilot07_lunch_dinner_fava_quinoa_carrot_tahina_bowl,Fava quinoa carrot tahina bowl,lunch/dinner,bowl,middle_eastern,easy,10,15,214|32|71|107|271,Fave cotte 135g cooked | Quinoa 70g raw | Carote 100g raw | Tahina 20g raw | Menta fresca 5g raw,569.6,25.0,86.1,15.8,19.6,5,PASS,PASS,0,0,,,,,,,,,PENDING
pilot07_lunch_dinner_seitan_buckwheat_arugula_salad,Seitan buckwheat arugula salad,lunch/dinner,salad,neutral,easy,10,15,16|43|72|78|110|242,Seitan 130g raw | Grano saraceno 70g raw | Peperoni 125g raw | Rucola 60g raw | Olio EVO 10g raw | Limone 20g raw,869.1,109.8,79.8,15.7,11.9,6,PASS,PASS,0,0,,,,,,,,,PENDING
pilot07_lunch_dinner_vongole_noodle_pak_choi_soup,Vongole rice noodle pak choi soup,lunch/dinner,soup_stew,asian_inspired,medium,10,15,211|37|234|230|228|277,Vongole 100g raw | Noodles di riso 70g raw | Pak choi (cavolo cinese) 100g raw | Daikon 80g raw | Cipolla 55g raw | Zenzero fresco 10g raw,398.2,21.6,72.2,1.8,4.5,6,PASS,PASS,0,0,,,,,,,,,PENDING
pilot07_lunch_dinner_rabbit_polenta_romanesco_plate,Rabbit polenta romanesco plate,lunch/dinner,plated_meal,italian,medium,10,30,206|45|225|110|276,Coniglio 155g raw | Polenta 70g raw | Cavolo romanesco 100g raw | Olio EVO 10g raw | Rosmarino 5g raw,585.2,40.2,57.5,22.3,6.8,5,PASS,PASS,0,0,,,,,,,,,PENDING
pilot07_lunch_dinner_beef_liver_barley_chard_plate,Beef liver barley chard plate,lunch/dinner,plated_meal,italian,medium,10,22,208|33|220|228|273,Fegato di manzo 90g raw | Orzo perlato 70g raw | Bietola 90g raw | Cipolla 55g raw | Pepe nero 5g raw,457.0,33.4,66.3,5.7,14.6,5,PASS,PASS,0,0,,,,,,,,,PENDING
pilot07_lunch_dinner_bresaola_radicchio_pasta_salad,Bresaola radicchio pasta salad,lunch/dinner,salad,italian,easy,8,10,4|35|236|57|113,Bresaola 70g raw | Pasta integrale 70g raw | Radicchio 70g raw | Grana Padano 20g raw | Olive 25g raw,471.0,39.1,51.3,11.7,7.2,5,PASS,PASS,0,0,,,,,,,,,PENDING
pilot07_lunch_dinner_capesante_lentil_pasta_zucchini_plate,Capesante lentil pasta zucchini plate,lunch/dinner,plated_meal,mediterranean,medium,10,16,205|36|69|110|268,Capesante 100g raw | Pasta di lenticchie 70g raw | Zucchine 125g raw | Olio EVO 10g raw | Basilico fresco 5g raw,436.8,33.9,47.7,12.6,9.0,5,PASS,PASS,0,0,,,,,,,,,PENDING
pilot07_pre_workout_coffee_cream_of_rice_honey_bowl,Coffee cream of rice honey bowl,pre_workout,bowl,neutral,easy,5,5,29|259|111,Crema di riso 50g raw | Caffè (espresso) 55g raw | Miele 15g raw,232.6,3.3,52.9,0.5,0.2,3,PASS,PASS,0,0,,,,,,,,,PENDING
pilot07_post_workout_egg_white_rice_pineapple_bowl,Egg white rice pineapple bowl,post_workout,bowl,neutral,easy,8,15,66|23|100|252,Albumi 155g raw | Riso bianco 70g raw | Ananas 125g raw | Semi di canapa 20g raw,509.2,28.7,75.2,10.7,2.8,4,PASS,PASS,0,0,,,,,,,,,PENDING
pilot07_post_workout_chicken_rice_noodle_carrot_bowl,Chicken rice noodle carrot bowl,post_workout,bowl,asian_inspired,easy,10,15,1|37|71|277,Petto di pollo 155g raw | Noodles di riso 70g raw | Carote 100g raw | Zenzero fresco 10g raw,474.3,41.0,67.5,2.6,4.1,4,PASS,PASS,0,0,,,,,,,,,PENDING
